Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Bruno Henrique,br BRA,FWMF,31,8,8,612,6.8,1,2,1,0,0,3,0,0.15,0.29,0.44,0.15,0.44,1.3,1.3,1.5,2.8,0.19,0.22,0.41,0.19,0.41,Matches,5edff24f
Matheus França,br BRA,FWMF,17,17,7,672,7.5,4,0,4,0,0,1,0,0.54,0.00,0.54,0.54,0.54,3.2,3.2,0.8,4.0,0.43,0.10,0.53,0.43,0.53,Matches,077faf72
Rodrigo Caio,br BRA,DF,28,8,7,585,6.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,186ed8f1
Diego Alves,br BRA,GK,36,5,5,424,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
Vitinho,br BRA,FWMF,28,11,4,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2.1,2.1,0.6,2.8,0.40,0.12,0.52,0.40,0.52,Matches,a9e68c94
Erick Pulgar,cl CHI,MF,28,6,4,355,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.07,0.08,0.01,0.08,Matches,4611e028
Mauricio Isla,cl CHI,DF,33,6,4,341,3.8,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.0,0.0,0.2,0.3,0.01,0.07,0.08,0.01,0.08,Matches,de4517dd
Gustavo Henrique,br BRA,DF,28,5,3,345,3.8,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,fa066690
Guillermo Varela,uy URU,DF,28,5,3,261,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,5c961282
Mateusão,br BRA,FWMF,17,8,2,227,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.04,0.07,0.03,0.07,Matches,78bee906
André Inácio,br BRA,FW,19,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.50,0.06,0.56,0.50,0.56,Matches,cc77d69c
Marcos Paulo,br BRA,DF,19,1,0,29,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,4dd6bb79
Petterson,br BRA,FWMF,18,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9943597e
Werton,br BRA,FW,18,2,0,29,0.3,1,0,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,0.2,0.2,0.0,0.2,0.71,0.00,0.71,0.71,0.71,Matches,d07bde9d
Matheus Gonçalves,br BRA,FW,16,3,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.32,0.00,0.32,0.32,0.32,Matches,071a6836
Kayke David,br BRA,FWMF,19,2,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.20,0.20,0.00,0.20,Matches,2285358d
Igor,br BRA,MFFW,18,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,fb19d550
Pedrinho,br BRA,FW,18,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,118d25ee
Daniel Cabral,br BRA,FW,19,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c080bb5e
Cleiton,br BRA,DF,18,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,741c6251
Matheus Cunha,br BRA,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,9475960a
Ryan Luka,br BRA,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,dd177004
Renê,br BRA,DF,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,d000ffc7
Diego Santos,br BRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,9e32ad69
Kauã Santtos,br BRA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,c7c50cb5
Zé Welinton,br BRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,c1e1eba6
Wesley,br BRA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,f2c49c79
Squad Total,,,27.2,38,418,3420,38.0,59,49,56,3,6,84,4,1.55,1.29,2.84,1.47,2.76,65.4,60.6,50.6,111.2,1.72,1.33,3.05,1.60,2.93,,-9999
Opponent Total,,,27.4,38,418,3420,38.0,38,23,33,5,5,112,9,1.00,0.61,1.61,0.87,1.47,35.8,32.0,23.2,55.2,0.94,0.61,1.55,0.84,1.45,,-9999
